Name,Description(short_description),Version / Baseline,Directorate,Status,Access Type,Geo Restriction,Product Types,Heritage,Constellations,Landing Page URL,Dissemination mode,Data Policy URL,Creation year,Publication Year,File Format,Owned by,Deputy Owner,Collection,Dataset,Campaign,EarthOnline page requested,Authors,Creators,Publisher,Language
GR_DNSxACC_2_,Thermosphere mass density at the GRACE satellite locations,0,D/EOP,Available,External Data,World Wide,"GR_DNS1ACC_2_, GR_DNS2ACC_2_",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/GR_DNSxACC_2_,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2022,2022,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Delft University of Technology,European Space Agency,European Space Agency,en
SW_DNSxACC_2_,Thermospheric density,0,D/EOP,Available,External Data,World Wide,"SW_DNSAACC_2_, SW_DNSBACC_2_, SW_DNSCACC_2_",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_DNSxACC_2_,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2018,2018,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Delft University of Technology,European Space Agency,European Space Agency,en
SW_ULFxMAG_2F,Swarm ULF wave characterisation from LR Vector Magnetometer Data,0,D/EOP,Available,External Data,World Wide,"SW_ULFAMAG_2F, SW_ULFBMAG_2F, SW_ULFCMAG_2F",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_ULFxMAG_2F,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2025,2025,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,HUN-REN Institute of Earth Physics and Space Science,European Space Agency,European Space Agency,en
SW_MAGx_HR_1B,Magnetic field (50Hz) from VFM,0,D/EOP,Available,External Data,World Wide,"SW_MAGA_HR_1B, SW_MAGB_HR_1B, SW_MAGC_HR_1B",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_MAGx_HR_1B,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2013,2013,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Swarm PDGS,European Space Agency,European Space Agency,en
SW_EFIx_LP_1B,Electric field instrument (EFI) Langmuir probe (LP) measurements at 2Hz,0,D/EOP,Available,External Data,World Wide,"SW_EFIA_LP_1B, SW_EFIB_LP_1B, SW_EFIC_LP_1B",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_EFIx_LP_1B,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2013,2013,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Swarm PDGS,European Space Agency,European Space Agency,en
SW_EFIx_TCT02, Swarm Electric Field Instrument (EFI) Thermal Ion Imager (TII) 2 Hz Cross-Track ion flow velocity dataset,0,D/EOP,Available,External Data,World Wide,"SW_EFIA_TCT02, SW_EFIB_TCT02, SW_EFIC_TCT02",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_EFIx_TCT02,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2017,2017,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,University of Calgary,European Space Agency,European Space Agency,en
SW_MITx_LP_2F,Midlatitude Ionospheric Trough Boundaries and Minima derived from LP (Langmuir Probe),0,D/EOP,Available,External Data,World Wide,"SW_MITA_LP_2F, SW_MITB_LP_2F, SW_MITC_LP_2F",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_MITx_LP_2F,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2021,2021,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,GFZ Helmholtz Centre for Geosciences,European Space Agency,European Space Agency,en
CS_MAG,Magnetic measurements derived from Cryosat-2 platform magnetometers,0,D/EOP,Available,External Data,World Wide,CS_MAG,No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/CS_MAG,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2020,2020,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Technical University of Denmark,European Space Agency,European Space Agency,en
SW_PC1xMAG_2F,Swarm Pc1 wave characterisation from HR Vector Magnetometer Data,0,D/EOP,Available,External Data,World Wide,"SW_PC1AMAG_2F, SW_PC1BMAG_2F, SW_PC1CMAG_2F",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_PC1xMAG_2F,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2025,2025,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,HUN-REN Institute of Earth Physics and Space Science,European Space Agency,European Space Agency,en
SW_MODx_SC_1B,Satellite Position and velocity from the preliminary Medium Accuracy Orbit Determination,0,D/EOP,Available,External Data,World Wide,"SW_MODA_SC_1B, SW_MODB_SC_1B, SW_MODC_SC_1B",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_MODx_SC_1B,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2013,2013,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Swarm PDGS,European Space Agency,European Space Agency,en
SW_VOBS_1M_2_,"One-monthly time series of vector magnetic field values at fixed locations, on a uniform grid at satellite altitude",0,D/EOP,Available,External Data,World Wide,SW_VOBS_1M_2_,No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_VOBS_1M_2_,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2021,2021,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,British Geological Survey,European Space Agency,European Space Agency,en
SW_MCO_SHA_2D,Spherical harmonic model of the main (core) field and its temporal variation derived in Dedicated Inversion chain,0,D/EOP,Available,External Data,World Wide,SW_MCO_SHA_2D,No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_MCO_SHA_2D,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2015,2015,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,GFZ Helmholtz Centre for Geosciences,European Space Agency,European Space Agency,en
SW_ACCx_AE_2_,Time series of calibrated and pre-processed accelerometer observations and of aerodynamic accelerations,0,D/EOP,Available,External Data,World Wide,SW_ACCC_AE_2_,No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_ACCx_AE_2_,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2016,2016,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Swarm PDGS,European Space Agency,European Space Agency,en
SW_EFIx_TII1B,Swarm Electric Field Instrument (EFI) Thermal Ion Imager (TII) Provisional plasma dataset,0,D/EOP,Available,External Data,World Wide,"SW_EFIA_TII1B, SW_EFIB_TII1B, SW_EFIC_TII1B",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_EFIx_TII1B,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2014,2014,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,University of Calgary,European Space Agency,European Space Agency,en
SW_EFIx_LP_HM,Extended dataset of the Electric field instrument (EFI) Langmuir probe (LP) measurements at 2Hz,0,D/EOP,Available,External Data,World Wide,"SW_EFIA_LP_HM, SW_EFIB_LP_HM, SW_EFIC_LP_HM",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_EFIx_LP_HM,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2017,2017,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Swedish Institute of Space Physics,European Space Agency,European Space Agency,en
SW_STRxATT_1B,Attitude of spacecraft,0,D/EOP,Available,External Data,World Wide,"SW_STRAATT_1B, SW_STRBATT_1B, SW_STRCATT_1B",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_STRxATT_1B,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2013,2013,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Swarm PDGS,European Space Agency,European Space Agency,en
SW_AUXxORBCNT,Precise Swarm orbit number information,0,D/EOP,Available,External Data,World Wide,"SW_AUXAORBCNT, SW_AUXBORBCNT, SW_AUXCORBCNT",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_AUXxORBCNT,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2013,2013,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Swarm PDGS,European Space Agency,European Space Agency,en
SW_ASMxBUR_1B,ASM 250Hz Experimental Burst Mode Data,0,D/EOP,Available,External Data,World Wide,"SW_ASMABUR_1B, SW_ASMBBUR_1B, SW_ASMCBUR_1B",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_ASMxBUR_1B,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2020,2020,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Swarm PDGS,European Space Agency,European Space Agency,en
SW_LP_x_CA_1B,LP calibration parameters,0,D/EOP,Available,External Data,World Wide,"SW_LP_A_CA_1B, SW_LP_B_CA_1B, SW_LP_C_CA_1B",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_LP_x_CA_1B,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2013,2013,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Swarm PDGS,European Space Agency,European Space Agency,en
SW_MIO_SHA_2D,"Model of non-polar daily geomagnetic variation caused by ionospheric currents, derived from dedicated chain (DIFI)",0,D/EOP,Available,External Data,World Wide,SW_MIO_SHA_2D,No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_MIO_SHA_2D,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2015,2015,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Institut de physique du globe de Paris,European Space Agency,European Space Agency,en
SW_MTI_SHA_2C,Spherical harmonic model of the magnetic signature of oceanic M2 tide,0,D/EOP,Available,External Data,World Wide,SW_MTI_SHA_2C,No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_MTI_SHA_2C,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2018,2018,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,Technical University of Denmark,European Space Agency,European Space Agency,en
SW_IPDxIRR_2F,Ionospheric Plasma IRregularities characterised by the Swarm satellites (Swarm IPIR).,0,D/EOP,Available,External Data,World Wide,"SW_IPDAIRR_2F, SW_IPDBIRR_2F, SW_IPDCIRR_2F",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_IPDxIRR_2F,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2019,2019,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,University of Oslo,European Space Agency,European Space Agency,en
SW_EFIxTIE_2_,Estimated ion temperatures along the Swarm satellite orbits,0,D/EOP,Available,External Data,World Wide,"SW_EFIATIE_2_, SW_EFIBTIE_2_, SW_EFICTIE_2_",No,Swarm,https://swarmhandbook.earth.esa.int/catalogue/SW_EFIxTIE_2_,Swarm Mission Specific Service,https://earth.esa.int/eogateway/documents/20142/1564626/Terms-and-Conditions-for-the-use-of-ESA-Data.pdf,2021,2021,,Antonio de la Fuente,,TRUE,TRUE,FALSE,FALSE,University of Calgary,European Space Agency,European Space Agency,en
